m,TagName,
"2011-02-01 00:00:00","javascript","5592"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6660"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c#","9962"
"2011-03-01 00:00:00","c++","4164"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8444"
"2011-03-01 00:00:00","javascript","6747"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8047"
"2011-03-01 00:00:00","python","3739"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c#","9249"
"2011-04-01 00:00:00","c++","4157"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6868"
"2011-04-01 00:00:00","perl","549"
"2011-04-01 00:00:00","php","7562"
"2011-04-01 00:00:00","python","3321"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","9961"
"2011-05-01 00:00:00","c++","3861"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8515"
"2011-05-01 00:00:00","javascript","7287"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8035"
"2011-05-01 00:00:00","python","3508"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c#","9708"
"2011-06-01 00:00:00","c++","3793"
"2011-06-01 00:00:00","delphi","452"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7856"
"2011-06-01 00:00:00","javascript","7656"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7984"
"2011-06-01 00:00:00","python","3457"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1553"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c#","9552"
"2011-07-01 00:00:00","c++","3842"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8117"
"2011-07-01 00:00:00","javascript","8075"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8588"
"2011-07-01 00:00:00","python","3644"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c#","9997"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","flutter","1"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8622"
"2011-08-01 00:00:00","javascript","8860"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8833"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c#","9231"
"2011-09-01 00:00:00","c++","3924"
"2011-09-01 00:00:00","dart","2"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8273"
"2011-09-01 00:00:00","javascript","8128"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7982"
"2011-09-01 00:00:00","python","3502"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c#","9143"
"2011-10-01 00:00:00","c++","4327"
"2011-10-01 00:00:00","dart","18"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8490"
"2011-10-01 00:00:00","javascript","7970"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7970"
"2011-10-01 00:00:00","python","3597"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c#","9831"
"2011-11-01 00:00:00","c++","4445"
"2011-11-01 00:00:00","dart","4"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8588"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8589"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c#","9238"
"2011-12-01 00:00:00","c++","4325"
"2011-12-01 00:00:00","dart","4"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9102"
"2011-12-01 00:00:00","javascript","8259"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8257"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","168"
"2012-01-01 00:00:00","c#","10303"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","dart","8"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10045"
"2012-01-01 00:00:00","javascript","9517"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9165"
"2012-01-01 00:00:00","python","4170"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","rust","1"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c#","10654"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","dart","11"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10844"
"2012-02-01 00:00:00","javascript","9881"
"2012-02-01 00:00:00","perl","612"
"2012-02-01 00:00:00","php","9791"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","reactjs","1"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","rust","6"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c#","11456"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","dart","4"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12244"
"2012-03-01 00:00:00","javascript","10600"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10740"
"2012-03-01 00:00:00","python","4992"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","rust","4"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c#","10966"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","dart","24"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11885"
"2012-04-01 00:00:00","javascript","10555"
"2012-04-01 00:00:00","perl","596"
"2012-04-01 00:00:00","php","10240"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1947"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c#","11396"
"2012-05-01 00:00:00","c++","4935"
"2012-05-01 00:00:00","dart","23"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12029"
"2012-05-01 00:00:00","javascript","11387"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10791"
"2012-05-01 00:00:00","python","5045"
"2012-05-01 00:00:00","r","869"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","199"
"2012-06-01 00:00:00","c#","11219"
"2012-06-01 00:00:00","c++","4604"
"2012-06-01 00:00:00","dart","25"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10989"
"2012-06-01 00:00:00","javascript","11138"
"2012-06-01 00:00:00","perl","738"
"2012-06-01 00:00:00","php","10450"
"2012-06-01 00:00:00","python","5245"
"2012-06-01 00:00:00","r","965"
"2012-06-01 00:00:00","ruby","1879"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c#","12219"
"2012-07-01 00:00:00","c++","5240"
"2012-07-01 00:00:00","dart","34"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12162"
"2012-07-01 00:00:00","javascript","12246"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11628"
"2012-07-01 00:00:00","python","5699"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2055"
"2012-07-01 00:00:00","rust","5"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11898"
"2012-08-01 00:00:00","c++","5137"
"2012-08-01 00:00:00","dart","42"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12190"
"2012-08-01 00:00:00","javascript","12379"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11806"
"2012-08-01 00:00:00","python","5846"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2052"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c#","11224"
"2012-09-01 00:00:00","c++","4881"
"2012-09-01 00:00:00","dart","33"
"2012-09-01 00:00:00","delphi","383"
"2012-09-01 00:00:00","flutter","1"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11549"
"2012-09-01 00:00:00","javascript","11125"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10912"
"2012-09-01 00:00:00","python","5232"
"2012-09-01 00:00:00","r","1056"
"2012-09-01 00:00:00","ruby","1952"
"2012-09-01 00:00:00","rust","1"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c#","12659"
"2012-10-01 00:00:00","c++","5887"
"2012-10-01 00:00:00","dart","81"
"2012-10-01 00:00:00","delphi","475"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13409"
"2012-10-01 00:00:00","javascript","12356"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11689"
"2012-10-01 00:00:00","python","6114"
"2012-10-01 00:00:00","r","1263"
"2012-10-01 00:00:00","ruby","2250"
"2012-10-01 00:00:00","rust","2"
"2012-10-01 00:00:00","swift","4"
"2012-11-01 00:00:00","assembly","302"
"2012-11-01 00:00:00","c#","12190"
"2012-11-01 00:00:00","c++","6248"
"2012-11-01 00:00:00","dart","76"
"2012-11-01 00:00:00","delphi","441"
"2012-11-01 00:00:00","flutter","2"
"2012-11-01 00:00:00","go","102"
"2012-11-01 00:00:00","java","13527"
"2012-11-01 00:00:00","javascript","12290"
"2012-11-01 00:00:00","perl","636"
"2012-11-01 00:00:00","php","11700"
"2012-11-01 00:00:00","python","6377"
"2012-11-01 00:00:00","r","1344"
"2012-11-01 00:00:00","ruby","2126"
"2012-11-01 00:00:00","rust","6"
"2012-11-01 00:00:00","swift","4"
"2012-12-01 00:00:00","assembly","260"
"2012-12-01 00:00:00","c#","10897"
"2012-12-01 00:00:00","c++","5666"
"2012-12-01 00:00:00","dart","87"
"2012-12-01 00:00:00","delphi","426"
"2012-12-01 00:00:00","go","112"
"2012-12-01 00:00:00","java","12351"
